tipo,archivo,duracion_original,sampling_rate_original
TR,2018-03-04-1824-36S.LC05__001_00_01,15.995,200.0
TR,2018-04-15-1132-29S.LC03__001_00_01,19.995,200.0
VT,2018-05-01-2055-10S.LC10__001_00_01,89.995,200.0
VT,2018-03-05-0609-27S.LC05__001_00_01,16.995,200.0
TC,2018-03-26-0419-08S.LC10__001_00_01,61.995,200.0
TC,2018-05-02-1123-00S.LC10__001_00_01,29.995,200.0
TR,2018-10-19-1943-08S.LC05__001_00_01,71.995,200.0
TC,2018-06-18-1835-00S.LC10__001_00_01,79.995,200.0
VT,2018-04-04-1716-43S.LC10__001_00_01,9.995,200.0
HY,2018-04-02-0655-13S.LC10__001_00_01,36.995,200.0
TR,2018-05-03-1757-15S.LC10__001_00_01,74.995,200.0
TR,2018-07-31-1731-24S.LC10__001_00_01,94.995,200.0
TC,2018-09-05-1703-43S.LC05__001_00_01,76.995,200.0
VT,2018-06-16-2141-32S.LC07__001_00_01,17.995,200.0
VT,2018-06-25-0745-15S.LC10__001_00_01,14.995,200.0
TC,2018-04-18-1909-10S.LC10__001_00_01,17.995,200.0
VT,2018-06-19-0028-30S.LC10__001_00_01,29.995,200.0
TC,2018-04-02-0716-05S.LC10__001_00_01,13.995,200.0
VT,2018-05-02-1049-15S.LC10__001_00_01,14.995,200.0
VT,2018-03-26-0519-53S.LC10__001_00_01,23.995,200.0
VT,2018-06-19-1216-15S.LC10__001_00_01,34.995,200.0
VT,2018-07-06-1435-28S.LC10__001_00_01,9.995,200.0
VT,2018-03-12-0438-41S.LC10__001_00_01,23.995,200.0
VT,2018-05-22-1016-20S.LC10__001_00_01,19.995,200.0
VT,2018-04-15-0108-30S.LC07__001_00_01,37.995,200.0
VT,2018-08-10-2216-10S.LC03__001_00_01,19.995,200.0
TR,2018-04-04-0436-42S.LC10__001_00_01,32.995,200.0
LP,2018-10-21-0343-13S.LC08__001_00_01,46.995,200.0
VT,2018-06-12-2254-28S.LC10__001_00_01,16.995,200.0
TC,2018-03-21-1126-23S.LC10__001_00_01,29.995,200.0
TC,2018-10-09-1210-02S.LC05__001_00_01,117.995,200.0
TC,2018-05-12-2029-00S.LC10__001_00_01,29.995,200.0
TC,2018-06-06-0555-10S.LC10__001_00_01,24.995,200.0
TC,2018-08-02-0127-56S.LC05__001_00_01,48.995,200.0
VT,2018-05-26-2104-10S.LC10__001_00_01,19.995,200.0
TC,2018-09-07-2055-30S.LC05__001_00_01,64.995,200.0
TC,2018-03-07-1422-10S.LC05__001_00_01,49.995,200.0
TR,2018-06-21-1836-45S.LC07__001_00_01,24.995,200.0
VT,2018-06-16-2046-04S.LC10__001_00_01,15.995,200.0
VT,2018-04-26-0310-19S.LC10__001_00_01,9.995,200.0
TC,2018-10-13-0633-32S.LC05__001_00_01,127.995,200.0
VT,2018-04-18-1838-20S.LC07__001_00_01,14.995,200.0
VT,2018-03-12-1423-44S.LC10__001_00_01,20.995,200.0
VT,2018-06-01-2202-55S.LC10__001_00_01,19.995,200.0
VT,2018-06-05-0704-36S.LC10__001_00_01,13.995,200.0
LP,2018-03-30-2214-03S.B2DA__001_00_01,71.998,500.0
VT,2018-04-24-2155-07S.LC10__001_00_01,11.995,200.0
VT,2018-04-16-1937-33S.LC10__001_00_01,25.995,200.0
